index,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
20,Data Scientist,$104K-$178K (Glassdoor est.),statistics data analysis SQL data analysis Python statistics Python statistics data analysis statistics,2.4,Company_20,"San Francisco, CA","New York, NY",1000+ employees,1984,Private,Other,Other,$100M-$1B,Unknown
21,Senior Data Scientist,$106K-$169K (Glassdoor est.),data analysis Machine Learning SQL data analysis data analysis SQL data analysis statistics SQL statistics,2.3,Company_21,"Chicago, IL","Chicago, IL",201-500 employees,2012,Public,Finance,Healthcare,$1M-$10M,Unknown
22,Machine Learning Engineer,$91K-$188K (Glassdoor est.),statistics SQL Machine Learning Python SQL data analysis data analysis statistics statistics statistics,3.3,Company_22,Other,"New York, NY",51-200 employees,1939,Other,Biotech,Finance,Unknown,Unknown
23,Data Analyst,-1,data analysis data analysis data analysis Machine Learning data analysis data analysis statistics SQL Python data analysis,-1.0,Company_23,"Washington, DC","New York, NY",1-50 employees,1998,Public,Other,Finance,$100M-$1B,"Company A, Company B"
24,Data Analyst,$124K-$291K (Glassdoor est.),Python Python Machine Learning SQL Machine Learning Machine Learning Python Machine Learning SQL SQL,4.5,Company_24,"Washington, DC","San Francisco, CA",51-200 employees,2012,Other,Finance,Finance,$1M-$10M,-1
25,Senior Data Scientist,$98K-$286K (Glassdoor est.),data analysis Python Python SQL Python statistics data analysis data analysis Machine Learning Machine Learning,1.8,Company_25,Other,"Chicago, IL",51-200 employees,1964,Other,Finance,Business Services,Unknown,None
26,Senior Data Scientist,$114K-$261K (Glassdoor est.),SQL data analysis SQL SQL Python Python Machine Learning Machine Learning Machine Learning Python,4.3,Company_26,"New York, NY",Other,51-200 employees,1926,Private,Healthcare,Business Services,$1M-$10M,None
27,Data Analyst,Unknown,SQL SQL SQL SQL SQL data analysis Machine Learning statistics statistics statistics,-1.0,Company_27,Other,"San Francisco, CA",51-200 employees,1866,Other,Finance,Healthcare,Unknown,"Company A, Company B"
28,Data Scientist,$133K-$292K (Glassdoor est.),Python data analysis Machine Learning statistics data analysis data analysis statistics data analysis SQL statistics,3.0,Company_28,Other,"New York, NY",201-500 employees,1959,Other,Biotech,Healthcare,$1M-$10M,Unknown
29,Data Scientist,$77K-$261K (Glassdoor est.),statistics SQL Machine Learning SQL statistics statistics SQL statistics Machine Learning Python,2.9,Company_29,Other,"New York, NY",201-500 employees,1953,Other,IT Services,Other,$100M-$1B,Unknown
30,Machine Learning Engineer,$79K-$256K (Glassdoor est.),statistics Python Machine Learning statistics Python statistics Machine Learning Python Python data analysis,3.3,Company_30,"Chicago, IL",Other,1-50 employees,1846,Non-profit,Healthcare,Finance,$1M-$10M,None
31,Data Scientist,$108K-$253K (Glassdoor est.),data analysis statistics Machine Learning Python Machine Learning data analysis statistics data analysis data analysis statistics,1.6,Company_31,"San Francisco, CA","New York, NY",1-50 employees,1812,Other,Finance,Healthcare,$10M-$100M,None
32,Data Analyst,$62K-$231K (Glassdoor est.),data analysis Python Machine Learning SQL Python Python data analysis Machine Learning Machine Learning SQL,2.0,Company_32,"Washington, DC","Chicago, IL",1-50 employees,1963,Public,Biotech,Technology,$10M-$100M,None
33,Data Analyst,$135K-$216K (Glassdoor est.),SQL SQL data analysis Machine Learning Python data analysis Machine Learning data analysis data analysis data analysis,4.3,Company_33,Other,"New York, NY",1-50 employees,1937,Public,Finance,Business Services,$1M-$10M,"Company A, Company B"
34,Data Analyst,$69K-$272K (Glassdoor est.),Machine Learning data analysis Python statistics Python data analysis SQL Python data analysis Machine Learning,1.0,Company_34,Other,"New York, NY",1-50 employees,1912,Non-profit,Other,Other,$1M-$10M,-1
35,Data Scientist,Unknown,SQL data analysis Machine Learning Machine Learning Python SQL data analysis Machine Learning statistics Python,-1.0,Company_35,Other,Other,1000+ employees,1973,Private,Other,Business Services,Unknown,-1
36,Machine Learning Engineer,Unknown,data analysis statistics data analysis data analysis SQL statistics Machine Learning Machine Learning Python Python,4.7,Company_36,"Chicago, IL","Chicago, IL",1-50 employees,1837,Other,IT Services,Technology,$1M-$10M,-1
37,Data Scientist,$97K-$184K (Glassdoor est.),Machine Learning Machine Learning statistics SQL data analysis statistics SQL Machine Learning data analysis Machine Learning,5.0,Company_37,Other,"Chicago, IL",201-500 employees,2023,Other,IT Services,Finance,$100M-$1B,"Company A, Company B"
38,Machine Learning Engineer,$125K-$294K (Glassdoor est.),Python SQL statistics Python Python data analysis statistics statistics statistics statistics,2.1,Company_38,"New York, NY","San Francisco, CA",51-200 employees,1846,Other,Other,Business Services,$1M-$10M,Unknown
39,Data Scientist,$135K-$182K (Glassdoor est.),Machine Learning Machine Learning SQL Python Python data analysis Machine Learning SQL Python data analysis,1.8,Company_39,"San Francisco, CA","San Francisco, CA",1-50 employees,1953,Non-profit,Biotech,Business Services,$10M-$100M,Unknown
40,Data Analyst,$135K-$259K (Glassdoor est.),Python data analysis statistics SQL Machine Learning data analysis SQL Machine Learning Machine Learning SQL,-1.0,Company_40,"San Francisco, CA","New York, NY",1000+ employees,-1,Non-profit,Healthcare,Technology,$100M-$1B,-1
41,Data Analyst,$142K-$164K (Glassdoor est.),SQL Machine Learning Python SQL SQL data analysis Machine Learning statistics Python data analysis,4.9,Company_41,"New York, NY",Other,201-500 employees,2000,Other,Other,Healthcare,$100M-$1B,Unknown
42,Senior Data Scientist,$126K-$230K (Glassdoor est.),statistics Machine Learning SQL SQL Machine Learning Python data analysis statistics statistics Python,2.9,Company_42,"Chicago, IL","Chicago, IL",51-200 employees,1898,Other,IT Services,Business Services,Unknown,-1
43,Data Scientist,$123K-$280K (Glassdoor est.),Machine Learning SQL statistics Python Python Python Machine Learning Python Machine Learning Machine Learning,1.5,Company_43,"New York, NY","San Francisco, CA",1-50 employees,1936,Private,Finance,Technology,Unknown,Unknown
44,Data Scientist,$134K-$274K (Glassdoor est.),Machine Learning statistics Machine Learning Machine Learning statistics Machine Learning data analysis SQL SQL data analysis,-1.0,Company_44,Other,Other,51-200 employees,1865,Public,Healthcare,Business Services,$1M-$10M,None
45,Senior Data Scientist,$63K-$240K (Glassdoor est.),data analysis SQL Machine Learning Machine Learning SQL Machine Learning data analysis statistics statistics data analysis,4.2,Company_45,"San Francisco, CA","Chicago, IL",1-50 employees,1985,Private,IT Services,Healthcare,$100M-$1B,-1
46,Data Analyst,$97K-$180K (Glassdoor est.),Python Machine Learning Machine Learning Python statistics data analysis statistics data analysis Machine Learning SQL,-1.0,Company_46,Other,Other,1-50 employees,1863,Public,Finance,Finance,$10M-$100M,"Company A, Company B"
47,Data Scientist,$123K-$208K (Glassdoor est.),SQL Machine Learning Python SQL Python SQL statistics SQL Machine Learning Machine Learning,2.1,Company_47,"Washington, DC","New York, NY",1000+ employees,1960,Non-profit,Healthcare,Other,Unknown,"Company A, Company B"
48,Senior Data Scientist,$121K-$293K (Glassdoor est.),Python statistics SQL data analysis Machine Learning statistics statistics SQL Machine Learning Python,2.1,Company_48,Other,"San Francisco, CA",1000+ employees,1946,Private,Healthcare,Business Services,Unknown,Unknown
49,Data Scientist,-1,data analysis SQL data analysis statistics Machine Learning SQL statistics Machine Learning SQL statistics,4.7,Company_49,"Chicago, IL","New York, NY",1000+ employees,1819,Private,IT Services,Technology,$100M-$1B,Unknown
50,Machine Learning Engineer,-1,Machine Learning Machine Learning data analysis Machine Learning Python Python Python data analysis SQL Python,1.8,Company_50,Other,"New York, NY",51-200 employees,1825,Other,Finance,Business Services,$1M-$10M,None
51,Data Analyst,$89K-$237K (Glassdoor est.),SQL data analysis Python SQL statistics data analysis Machine Learning Machine Learning SQL Python,3.3,Company_51,"Chicago, IL","Chicago, IL",51-200 employees,-1,Private,Biotech,Technology,$10M-$100M,"Company A, Company B"
52,Machine Learning Engineer,$73K-$187K (Glassdoor est.),statistics Python Python Machine Learning Python data analysis Python Machine Learning Python SQL,-1.0,Company_52,"San Francisco, CA","New York, NY",1-50 employees,-1,Non-profit,Healthcare,Finance,$10M-$100M,"Company A, Company B"
53,Data Analyst,$101K-$168K (Glassdoor est.),Python statistics Machine Learning Machine Learning Python data analysis data analysis SQL Python Machine Learning,3.5,Company_53,"Chicago, IL",Other,201-500 employees,-1,Other,Other,Business Services,Unknown,-1
54,Senior Data Scientist,$131K-$158K (Glassdoor est.),statistics statistics Python statistics data analysis data analysis statistics Python data analysis SQL,2.7,Company_54,Other,Other,201-500 employees,1931,Non-profit,Other,Healthcare,$100M-$1B,-1
55,Data Analyst,Unknown,data analysis SQL Machine Learning Machine Learning SQL SQL Python SQL statistics Machine Learning,3.5,Company_55,"Chicago, IL","Chicago, IL",1000+ employees,-1,Public,Finance,Business Services,$10M-$100M,-1
56,Data Analyst,$108K-$238K (Glassdoor est.),Machine Learning Python Python Machine Learning data analysis Python data analysis Machine Learning Python Machine Learning,2.1,Company_56,Other,Other,201-500 employees,1976,Public,Finance,Business Services,$10M-$100M,-1
57,Senior Data Scientist,$89K-$234K (Glassdoor est.),Python data analysis statistics statistics data analysis data analysis Machine Learning SQL Python Machine Learning,4.4,Company_57,Other,"New York, NY",1000+ employees,2006,Public,Biotech,Technology,$1M-$10M,-1
58,Data Analyst,$122K-$172K (Glassdoor est.),SQL statistics data analysis SQL Machine Learning data analysis data analysis data analysis Python Python,-1.0,Company_58,Other,"San Francisco, CA",201-500 employees,1957,Non-profit,Healthcare,Healthcare,$10M-$100M,Unknown
59,Data Scientist,$69K-$191K (Glassdoor est.),Machine Learning SQL statistics SQL statistics Machine Learning Python data analysis data analysis Machine Learning,2.3,Company_59,"New York, NY","San Francisco, CA",51-200 employees,-1,Non-profit,IT Services,Healthcare,Unknown,"Company A, Company B"
60,Senior Data Scientist,$56K-$171K (Glassdoor est.),Python Python data analysis data analysis SQL SQL Python data analysis SQL statistics,4.2,Company_60,"New York, NY",Other,1-50 employees,1818,Public,Healthcare,Finance,$100M-$1B,Unknown
61,Senior Data Scientist,$134K-$259K (Glassdoor est.),Machine Learning SQL SQL data analysis data analysis Machine Learning data analysis Machine Learning SQL Machine Learning,1.8,Company_61,"Chicago, IL","New York, NY",51-200 employees,1812,Non-profit,Healthcare,Technology,$1M-$10M,None
62,Senior Data Scientist,$106K-$257K (Glassdoor est.),SQL SQL SQL data analysis data analysis statistics data analysis data analysis Machine Learning data analysis,4.8,Company_62,"Chicago, IL","Chicago, IL",1000+ employees,1924,Private,IT Services,Finance,Unknown,-1
63,Machine Learning Engineer,$146K-$282K (Glassdoor est.),Python SQL Machine Learning SQL Machine Learning data analysis data analysis Python statistics Python,-1.0,Company_63,"Washington, DC",Other,201-500 employees,1809,Non-profit,Other,Other,$10M-$100M,-1
64,Machine Learning Engineer,$105K-$179K (Glassdoor est.),Python Python statistics Machine Learning Python SQL Python Python SQL statistics,4.9,Company_64,Other,"New York, NY",51-200 employees,1857,Other,Healthcare,Finance,$1M-$10M,"Company A, Company B"
65,Data Analyst,$136K-$275K (Glassdoor est.),data analysis Machine Learning data analysis Machine Learning statistics statistics data analysis Machine Learning SQL data analysis,2.9,Company_65,Other,"New York, NY",1000+ employees,1890,Other,Finance,Technology,$10M-$100M,None
66,Senior Data Scientist,$89K-$162K (Glassdoor est.),statistics SQL Python Machine Learning Machine Learning SQL Python Python SQL Python,-1.0,Company_66,"Washington, DC","San Francisco, CA",1-50 employees,-1,Public,Healthcare,Technology,Unknown,"Company A, Company B"
67,Data Analyst,$126K-$165K (Glassdoor est.),Python statistics data analysis SQL SQL Machine Learning Machine Learning data analysis Python Python,1.9,Company_67,"New York, NY",Other,51-200 employees,1958,Private,Finance,Finance,Unknown,None
68,Data Scientist,-1,SQL statistics statistics SQL statistics SQL data analysis Python statistics Machine Learning,1.7,Company_68,"Washington, DC","Chicago, IL",51-200 employees,1890,Public,Healthcare,Healthcare,Unknown,"Company A, Company B"
69,Senior Data Scientist,$148K-$186K (Glassdoor est.),SQL Machine Learning Python Python SQL statistics statistics statistics statistics statistics,-1.0,Company_69,"New York, NY","San Francisco, CA",1000+ employees,1881,Private,Healthcare,Technology,Unknown,Unknown
70,Data Scientist,$87K-$234K (Glassdoor est.),Machine Learning data analysis statistics Machine Learning data analysis data analysis statistics Machine Learning Machine Learning Machine Learning,1.4,Company_70,"Chicago, IL",Other,51-200 employees,1995,Non-profit,Biotech,Technology,$1M-$10M,-1
71,Data Analyst,$113K-$261K (Glassdoor est.),Python Python Python data analysis statistics data analysis SQL SQL statistics Machine Learning,2.2,Company_71,"San Francisco, CA","San Francisco, CA",1-50 employees,-1,Other,Healthcare,Business Services,Unknown,"Company A, Company B"
72,Machine Learning Engineer,$98K-$287K (Glassdoor est.),Python statistics SQL Python data analysis statistics Python statistics Machine Learning SQL,3.4,Company_72,"San Francisco, CA",Other,51-200 employees,-1,Non-profit,Biotech,Healthcare,Unknown,-1
73,Data Analyst,$114K-$294K (Glassdoor est.),statistics SQL statistics data analysis statistics Machine Learning Python data analysis statistics SQL,1.9,Company_73,Other,Other,1000+ employees,1926,Non-profit,Healthcare,Technology,Unknown,"Company A, Company B"
74,Data Scientist,$95K-$169K (Glassdoor est.),SQL SQL data analysis Python Python statistics data analysis data analysis data analysis data analysis,-1.0,Company_74,"Washington, DC",Other,201-500 employees,1991,Public,Other,Business Services,Unknown,"Company A, Company B"
75,Senior Data Scientist,$144K-$161K (Glassdoor est.),Machine Learning Python Machine Learning data analysis Machine Learning statistics statistics statistics Machine Learning statistics,-1.0,Company_75,"Washington, DC","New York, NY",201-500 employees,1856,Non-profit,IT Services,Business Services,$1M-$10M,None
76,Data Analyst,$108K-$170K (Glassdoor est.),statistics SQL SQL Machine Learning Python data analysis Machine Learning Machine Learning Machine Learning SQL,2.8,Company_76,"Washington, DC","Chicago, IL",51-200 employees,1846,Non-profit,Finance,Technology,$1M-$10M,None
77,Senior Data Scientist,$123K-$260K (Glassdoor est.),data analysis Python statistics data analysis Machine Learning data analysis Python SQL Machine Learning SQL,2.5,Company_77,"Washington, DC","New York, NY",1-50 employees,1892,Public,Finance,Finance,$10M-$100M,None
78,Machine Learning Engineer,$140K-$257K (Glassdoor est.),data analysis SQL Machine Learning SQL Machine Learning data analysis SQL Machine Learning SQL data analysis,2.5,Company_78,"San Francisco, CA","Chicago, IL",201-500 employees,1838,Private,IT Services,Business Services,$100M-$1B,"Company A, Company B"
79,Machine Learning Engineer,$101K-$156K (Glassdoor est.),SQL statistics SQL Python Python Machine Learning SQL Python SQL SQL,2.1,Company_79,Other,"San Francisco, CA",1000+ employees,-1,Other,Other,Technology,Unknown,"Company A, Company B"
80,Machine Learning Engineer,$71K-$268K (Glassdoor est.),Machine Learning SQL Python statistics Python statistics Python Machine Learning statistics statistics,3.0,Company_80,"San Francisco, CA","New York, NY",1000+ employees,1896,Non-profit,Finance,Finance,$10M-$100M,-1
81,Senior Data Scientist,$96K-$173K (Glassdoor est.),Machine Learning data analysis data analysis SQL Machine Learning Machine Learning SQL data analysis Python statistics,3.1,Company_81,"New York, NY","Chicago, IL",1-50 employees,1975,Non-profit,Other,Other,$100M-$1B,-1
82,Data Analyst,$63K-$213K (Glassdoor est.),Machine Learning data analysis Machine Learning SQL SQL Machine Learning statistics SQL Python Python,3.0,Company_82,Other,"New York, NY",51-200 employees,1951,Private,Other,Business Services,$10M-$100M,-1
83,Senior Data Scientist,$101K-$285K (Glassdoor est.),statistics statistics Python Machine Learning data analysis Python data analysis SQL data analysis Machine Learning,4.4,Company_83,"Washington, DC",Other,1-50 employees,1897,Private,Other,Other,$1M-$10M,"Company A, Company B"
84,Senior Data Scientist,-1,data analysis statistics SQL SQL data analysis Python Python statistics SQL data analysis,2.5,Company_84,"Chicago, IL","New York, NY",1000+ employees,1849,Private,IT Services,Technology,$10M-$100M,-1
85,Data Analyst,$78K-$236K (Glassdoor est.),Machine Learning statistics Python Python SQL SQL SQL SQL data analysis SQL,3.4,Company_85,"Washington, DC","Chicago, IL",1-50 employees,1989,Other,IT Services,Finance,$10M-$100M,-1
86,Machine Learning Engineer,$59K-$281K (Glassdoor est.),Machine Learning statistics SQL Machine Learning statistics Machine Learning Python Python data analysis data analysis,2.5,Company_86,"New York, NY",Other,1-50 employees,1977,Public,Biotech,Healthcare,$10M-$100M,-1
87,Machine Learning Engineer,$117K-$281K (Glassdoor est.),statistics data analysis Python Python Python Python statistics Machine Learning Python SQL,1.8,Company_87,Other,"New York, NY",201-500 employees,1850,Private,Healthcare,Healthcare,$10M-$100M,None
88,Data Analyst,$149K-$240K (Glassdoor est.),data analysis Python SQL Python data analysis statistics SQL SQL SQL data analysis,2.6,Company_88,"New York, NY",Other,51-200 employees,1874,Public,Healthcare,Finance,$100M-$1B,Unknown
89,Senior Data Scientist,$132K-$188K (Glassdoor est.),Python statistics Python data analysis statistics SQL Machine Learning statistics Machine Learning SQL,2.2,Company_89,"Washington, DC","San Francisco, CA",51-200 employees,1913,Other,Biotech,Finance,$1M-$10M,None
90,Senior Data Scientist,$68K-$216K (Glassdoor est.),Machine Learning statistics data analysis Python Machine Learning data analysis data analysis Machine Learning Machine Learning data analysis,3.4,Company_90,"Washington, DC","San Francisco, CA",1-50 employees,2013,Public,Other,Technology,$1M-$10M,None
91,Machine Learning Engineer,$127K-$190K (Glassdoor est.),SQL SQL Machine Learning statistics Machine Learning SQL SQL SQL Python statistics,1.1,Company_91,Other,Other,51-200 employees,-1,Private,IT Services,Healthcare,$10M-$100M,None
92,Data Scientist,$133K-$170K (Glassdoor est.),statistics SQL Machine Learning Python statistics statistics Machine Learning Python Machine Learning SQL,2.0,Company_92,Other,"Chicago, IL",51-200 employees,1932,Other,IT Services,Healthcare,Unknown,None
93,Data Scientist,$148K-$277K (Glassdoor est.),SQL Python SQL Machine Learning Machine Learning SQL Python data analysis SQL SQL,2.8,Company_93,"Washington, DC","San Francisco, CA",1000+ employees,1953,Public,Other,Other,Unknown,-1
94,Data Scientist,$122K-$299K (Glassdoor est.),SQL Machine Learning SQL data analysis statistics statistics data analysis SQL data analysis statistics,2.6,Company_94,"Washington, DC","Chicago, IL",51-200 employees,1884,Non-profit,Finance,Finance,$10M-$100M,"Company A, Company B"
95,Senior Data Scientist,$122K-$233K (Glassdoor est.),Machine Learning statistics Python SQL data analysis data analysis SQL data analysis Python Python,2.5,Company_95,Other,Other,1-50 employees,-1,Public,Finance,Finance,Unknown,Unknown
96,Senior Data Scientist,$130K-$231K (Glassdoor est.),Python Machine Learning Python Python SQL data analysis data analysis SQL Python Machine Learning,3.9,Company_96,"San Francisco, CA","Chicago, IL",51-200 employees,2005,Non-profit,IT Services,Business Services,Unknown,None
97,Machine Learning Engineer,$58K-$271K (Glassdoor est.),SQL SQL data analysis statistics Machine Learning data analysis SQL statistics statistics Python,1.4,Company_97,Other,"New York, NY",1-50 employees,2020,Non-profit,Healthcare,Other,$100M-$1B,"Company A, Company B"
98,Data Scientist,$88K-$221K (Glassdoor est.),data analysis Python Machine Learning Python statistics statistics statistics Python data analysis SQL,1.9,Company_98,Other,Other,201-500 employees,1974,Public,Other,Finance,$1M-$10M,None
99,Machine Learning Engineer,$95K-$280K (Glassdoor est.),data analysis Machine Learning data analysis Python Machine Learning data analysis Machine Learning statistics Machine Learning data analysis,5.0,Company_99,"Washington, DC",Other,1-50 employees,1929,Private,Healthcare,Technology,$1M-$10M,-1
100,Machine Learning Engineer,-1,SQL SQL data analysis Python statistics Machine Learning SQL data analysis Python statistics,1.7,Company_100,Other,"San Francisco, CA",1000+ employees,1818,Non-profit,IT Services,Business Services,Unknown,Unknown
101,Machine Learning Engineer,$57K-$245K (Glassdoor est.),statistics SQL Python data analysis SQL Python SQL Python data analysis Python,3.6,Company_101,"Washington, DC","Chicago, IL",1-50 employees,2023,Other,Finance,Finance,Unknown,Unknown
102,Data Analyst,$59K-$174K (Glassdoor est.),Python data analysis Machine Learning Machine Learning SQL Python Python Python data analysis statistics,4.2,Company_102,"San Francisco, CA","New York, NY",201-500 employees,2001,Private,Biotech,Finance,$1M-$10M,-1
103,Data Scientist,$114K-$249K (Glassdoor est.),statistics data analysis Python data analysis data analysis data analysis Python SQL statistics data analysis,4.9,Company_103,"San Francisco, CA",Other,1-50 employees,1927,Other,Finance,Healthcare,$100M-$1B,None
104,Data Scientist,$120K-$161K (Glassdoor est.),data analysis statistics Machine Learning Python data analysis SQL Python statistics Machine Learning Machine Learning,4.0,Company_104,"Chicago, IL","Chicago, IL",1000+ employees,1979,Other,Healthcare,Technology,$10M-$100M,-1
105,Data Analyst,$123K-$199K (Glassdoor est.),SQL data analysis Python Python SQL data analysis SQL statistics statistics Machine Learning,-1.0,Company_105,Other,Other,1-50 employees,1901,Non-profit,Healthcare,Finance,$100M-$1B,"Company A, Company B"
106,Data Analyst,$110K-$279K (Glassdoor est.),Python Python SQL SQL SQL Python data analysis SQL Python Python,1.4,Company_106,Other,Other,1-50 employees,1968,Private,IT Services,Business Services,$100M-$1B,"Company A, Company B"
107,Data Scientist,$57K-$266K (Glassdoor est.),statistics data analysis SQL data analysis data analysis Machine Learning SQL Machine Learning Machine Learning Machine Learning,1.2,Company_107,"San Francisco, CA","San Francisco, CA",1000+ employees,1953,Non-profit,Finance,Other,Unknown,Unknown
108,Data Analyst,$93K-$172K (Glassdoor est.),data analysis SQL data analysis Python Machine Learning Python statistics Python statistics SQL,-1.0,Company_108,"Washington, DC","Chicago, IL",51-200 employees,1906,Private,IT Services,Technology,$1M-$10M,None
109,Machine Learning Engineer,$72K-$161K (Glassdoor est.),Machine Learning Python Machine Learning statistics data analysis Machine Learning data analysis SQL SQL data analysis,2.8,Company_109,"New York, NY",Other,201-500 employees,1847,Private,Biotech,Finance,$100M-$1B,Unknown
110,Senior Data Scientist,$106K-$263K (Glassdoor est.),Python statistics SQL Machine Learning statistics Python statistics Python Machine Learning statistics,4.4,Company_110,Other,"New York, NY",201-500 employees,1927,Private,Biotech,Business Services,$100M-$1B,None
111,Machine Learning Engineer,$128K-$191K (Glassdoor est.),Machine Learning SQL data analysis statistics SQL Python Python SQL statistics statistics,4.7,Company_111,"Chicago, IL","Chicago, IL",1-50 employees,2003,Public,Healthcare,Technology,$1M-$10M,"Company A, Company B"
112,Data Scientist,$86K-$250K (Glassdoor est.),Python data analysis Machine Learning Python Machine Learning SQL data analysis Python data analysis Machine Learning,2.2,Company_112,Other,Other,201-500 employees,1891,Private,Finance,Other,$10M-$100M,"Company A, Company B"
113,Data Analyst,$93K-$164K (Glassdoor est.),Python data analysis SQL Machine Learning data analysis statistics Python Python Machine Learning SQL,1.9,Company_113,"New York, NY","Chicago, IL",1000+ employees,1804,Public,Healthcare,Technology,$10M-$100M,"Company A, Company B"
114,Senior Data Scientist,$132K-$236K (Glassdoor est.),Python statistics Machine Learning SQL SQL statistics SQL SQL data analysis Machine Learning,-1.0,Company_114,"Washington, DC","San Francisco, CA",1000+ employees,1902,Non-profit,Other,Other,$10M-$100M,None
